106;1744;2288;11804;-7136;6902;
107;2020;2912;12240;-5378;6750;
108;1732;2168;11680;-5463;5539;
109;1332;1312;10780;-5980;4564;
110;244;148;9852;-5319;3443;
111;-104;-140;9596;-3651;3342;
112;-568;188;10140;-1734;3896;
113;-780;-220;10364;-1109;3806;
114;-1044;-1508;10356;-1089;3472;
115;-2084;-904;10640;510;3532;
116;-2940;-68;11392;2024;3700;
117;-2824;-480;11860;2165;3252;
118;-2676;-1416;11952;1441;2127;
119;-3336;-1452;11856;1969;2158;
120;-3684;-196;12780;3399;2180;
121;-3612;644;13856;4375;2618;
122;-3800;748;13856;3723;1782;
123;-3628;-80;14004;3097;1408;
124;-3664;-288;14268;3258;1755;
125;-3736;948;14576;3747;2071;
126;-3592;1236;14528;3845;1739;
127;-3436;996;14264;2987;679;
128;-3872;1292;14160;2692;754;
129;-4360;2032;14224;2954;818;
130;-4380;1576;13752;2552;459;
131;-4200;1592;14036;1615;856;
132;-4264;2280;14180;1819;685;
133;-4376;2188;13640;1620;-597;
134;-4236;1392;13496;958;-1328;
135;-3756;1504;13624;1091;-1371;
136;-3624;1808;13716;1805;-910;
137;-3412;2008;13780;2201;-723;
138;-3184;1480;13860;2136;-1232;
139;-3488;1604;13972;2352;-1020;
140;-3732;1748;13976;2864;-773;
141;-3656;1800;14432;3129;-675;
142;-3384;2092;14768;3227;-631;
143;-3900;2536;15200;3397;-517;
144;-4124;2732;15228;3381;-908;
145;-4128;2968;15468;3081;-1329;
146;-3984;2440;15872;2654;-1774;
147;-3684;2964;16268;2508;-2091;
148;-3332;3272;16604;2629;-1921;
149;-3588;3520;17148;2809;-1157;
150;-3348;3712;17044;2774;-1322;
151;-3600;3760;16880;3155;-1037;
152;-3524;4320;16908;3637;-937;
153;-3012;4056;17076;3553;-854;
154;-2780;3844;16472;3174;-838;
155;-2452;4272;16136;3305;-590;
156;-2740;4416;15916;3685;-327;
157;-2776;4536;15744;3831;-63;
158;-2492;4972;15600;3610;-163;
159;-2688;4980;15084;3397;-552;
160;-2288;5008;15380;3224;-639;
161;-2248;5392;15056;3066;-500;
162;-2528;5892;15052;2686;-566;
163;-2256;5544;14736;2232;-1020;
164;-2040;5656;14868;2072;-613;
165;-2200;5492;14864;1876;-430;
166;-2332;5316;14448;1543;-1078;
167;-2080;5768;14268;1747;-1104;
168;-2216;5952;14240;2047;-785;
169;-1924;5552;14168;1779;-1208;
170;-1780;6120;14216;1777;-1374;
171;-1916;6488;14512;2063;-1003;
172;-1936;6408;14100;1818;-1232;
